ID	Average Num Places Added In Each Step	Average LPMs In Local Tree	Total number of lpms in Main Tree	Number of passed trace variants	Main Tree average width	Main Tree average width	Main Tree average height	Total number of Main Tree nodes
b2ddf95b-82e2-4f73-98fc-96507222e139	0	0	0	226	NaN	-1	0	1
79f6cf6a-ed3f-472f-9ac6-eb03a8566b59	0	0	1487	226	1.0	1	4	5
b29097b1-cbf9-4f4d-8987-6c84e529cc69	0	9	30848	226	1.2727272727272727	4	4	15
1701e27d-5a70-4f83-aaca-173bb6872657	0	0	0	226	NaN	-1	0	1
35a345cd-6c4e-46b7-a4d6-8b5ac3623a9a	0	0	3449	226	1.0	1	4	5
49060fa0-cebe-4373-a027-5a77adb73977	0	11	45345	226	1.2727272727272727	4	4	15
5d11d5be-2832-4e58-b009-20b35dbd15a1	0	0	0	226	NaN	-1	0	1
ba0f8a30-cdbf-4ead-a5df-ad41a9a64817	0	1	4732	226	1.0	1	4	5
2acdae9f-087b-45f2-ac19-b75dd9177844	0	14	57260	226	1.2727272727272727	4	4	15
d1bfd7d2-f88d-48ef-8435-c940915990b4	0	0	0	226	NaN	-1	0	1
554e32af-64f6-426b-97d7-8f2df48c2f87	0	1	5628	226	1.0	1	4	5
f759dada-21ab-4366-82d0-71957d270896	0	18	71826	226	1.2727272727272727	4	4	15
736f8c6a-08ee-4baa-9f68-a4978d9383d9	0	0	0	226	NaN	-1	0	1
d76e1a6b-0528-48ac-b050-2184952802ab	0	0	647	226	1.0	1	4	5
572f16a8-7b01-457c-9cb1-568bddcb6dbd	0	5	17067	226	1.2727272727272727	4	4	15
a6eb4f8b-a32f-47bc-af0c-b85927cbac16	0	0	0	226	NaN	-1	0	1
e59b8fad-5cf8-4875-89bc-e4c431635fcf	0	0	1487	226	1.0	1	4	5
9383ce41-8907-48e6-b5a9-d9c7496d40e2	0	9	30848	226	1.2727272727272727	4	4	15
79a2c818-307c-498e-bcf7-1bb1194a03bf	0	0	0	226	NaN	-1	0	1
43ae44d4-da31-45b7-85e4-d79352f7bdf8	0	0	3449	226	1.0	1	4	5
12df4eb2-a17c-419f-88bf-cf8a02bab714	0	11	45345	226	1.2727272727272727	4	4	15
27dd037d-95a6-4aae-86a2-694ecb6532ac	0	0	0	226	NaN	-1	0	1
cb185491-552d-45af-a89d-ae7ba1cc3310	0	1	4732	226	1.0	1	4	5
836f5dc4-7fdb-4303-ba49-d76b7eb84f76	0	14	57260	226	1.2727272727272727	4	4	15
45ee758e-e499-40cc-9b54-d0f7a17f7391	0	0	0	226	NaN	-1	0	1
d96767e4-d1ee-45a0-ae38-2b7994ec4c4a	0	1	5628	226	1.0	1	4	5
66d81d8d-b60e-448a-a2b8-9c821986f3be	0	18	71826	226	1.2727272727272727	4	4	15
d5db5a56-18ef-49c5-b7c1-3ba336522095	0	0	0	226	NaN	-1	0	1
45bb4cae-baf1-4edf-b5df-013c865aed3f	0	0	2627	226	1.2222222222222223	2	4	12
52ef1904-f368-4080-92ba-72a72f6ca086	0	5	17067	226	1.2727272727272727	4	4	15
e8be6812-a379-45ae-9eaf-ba66c3c77592	0	0	0	226	NaN	-1	0	1
1d126881-0d9c-4740-a8df-ca8391d06dc7	0	0	1487	226	1.0	1	4	5
1bfad114-8b24-4356-8171-1e34d5193261	0	9	30848	226	1.3333333333333333	3	4	13
0e97759e-41b7-4d32-b923-84d2c5caae1d	0	0	0	226	NaN	-1	0	1
30ea6b16-5b9e-4361-9920-1681695ee57f	0	0	3449	226	1.0	1	4	5
fb9b65ff-0d75-4ecd-be56-73512be3a3cb	0	11	45345	226	1.3333333333333333	3	4	13
3fffce31-b144-44fd-805b-5868107bde41	0	0	0	226	NaN	-1	0	1
f91e5b0f-ae0a-4881-9dc4-63db74cd5d89	0	1	4732	226	1.0	1	4	5
4027efde-b54e-487a-ae47-ac7c7e16d56c	0	14	57260	226	1.3	3	4	14
5395d608-fa0a-467d-a7e7-7c2da19719f3	0	0	0	226	NaN	-1	0	1
7af5c293-f340-43c3-8ed1-a310ef010274	0	1	5628	226	1.0	1	4	5
c3768608-7f1e-4c50-b336-ab9bc692831d	0	18	71826	226	1.2727272727272727	4	4	15
ff43441c-e359-4b05-a810-220d4db8bc68	0	3	608819	4366	2.274074074074074	19	5	308
c602a34c-32d0-4a3c-a1ee-6bcba5473552	0	0	73307	4366	1.2	2	3	7
f6e9f264-c4c2-4b0c-9604-f4c1a2783777	0	3	604581	4366	1.4827586206896552	12	5	87
d17eacf3-d164-4312-9aae-48f683250742	0	7	1500710	4366	2.2163120567375887	28	6	626
1b35fa4f-dc60-40fe-ac2c-e4ede8eb5646	0	0	115696	4366	1.0	1	3	4
54a4b7b2-ccc7-4e68-9fe4-c6e1d2079a21	0	5	1237447	4366	1.4647887323943662	15	5	105
c3b478cd-e879-442e-905b-06d659bb3ccc	0	15	3468359	4366	2.204951856946355	37	6	3207
b998d687-9fff-49d9-8ad5-d998000e2ca2	0	1	252303	4366	1.4444444444444444	3	4	14
a846998b-c42b-4ebb-b2cb-44df7555161a	0	10	1669430	2899	1.5662650602409638	19	5	131
50aecbc8-a1fd-4180-9c9a-58c709084310	0	17	4215361	4366	2.17477096546864	38	7	6173
6e35554c-3b65-415c-8aa7-fb38178c8690	0	1	400730	4366	1.4210526315789473	4	4	28
0b78d215-daa4-4ccd-8365-9d77a1954569	0	13	293938	411	1.5833333333333333	11	5	115
c03fae87-f92e-4693-a886-1621e4113e39	0	23	141239	96	2.166073546856465	32	7	1827
16813a67-f191-485d-9f1e-dcb8c68500b0	0	2	33066	229	1.4516129032258065	5	4	46
68d3fad7-8daa-4ed8-85bc-a6256b92c733	0	15	24252	25	1.5555555555555556	13	5	99
88b3360a-3402-403e-87d1-07032dab6475	0	42	28179	15	2.684067427949973	34	6	4937
f6d83fa2-600d-4210-a333-594942ac5c11	0	0	16706	712	1.2857142857142858	3	3	10
badb6ebc-e097-43d2-b2d6-1d2ab0569810	0	2	16459	117	1.456140350877193	14	5	84
550f3b94-57c2-4847-95e9-1ecf989695dd	0	51	124577	46	2.1598401598401598	57	6	4325
8474f7e4-2b01-4834-950b-f806725da763	0	0	81999	1880	1.5263157894736843	6	4	30
080a4aaf-64ab-4a70-9bac-ce999625b6cf	0	5	1237447	4366	1.507462686567164	14	5	102
09d9ffe0-f777-4d75-8deb-5b348efdbe08	0	105	24292787	4366	2.2318046518979004	90	7	84727
